timestamp,evento
221781,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
222376,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
223493,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
224506,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
226031,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
226220,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
227255,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
228483,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
229009,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
230015,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
231107,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
233943,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
235562,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
236037,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
236731,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
238014,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
238658,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
239808,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
240750,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
241544,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
242625,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
243848,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
244625,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
245822,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
247109,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
248561,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
248665,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
250166,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
250412,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
250885,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
251540,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
252657,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
253200,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
253589,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
254498,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
256404,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
257195,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
258190,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
259425,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
261169,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
261289,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
261429,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
262710,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
263474,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
263730,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
264850,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
266256,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
267136,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
268063,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
268308,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
269289,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
269872,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
270742,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
273114,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
273862,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
274932,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
275151,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
275197,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
276134,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
277676,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
279039,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
280680,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
282150,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
282428,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
283793,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
